Format: p[node, period]
p[101,1] = 22.83
p[101,2] = 22.8
p[101,3] = 22.62
p[101,4] = 22.62
p[101,5] = 22.62
p[101,6] = 22.62
p[101,7] = 22.94
p[101,8] = 23.33
p[101,9] = 24.15
p[101,10] = 24.15
p[101,11] = 24.15
p[101,12] = 24.15
p[101,13] = 24.15
p[101,14] = 24.15
p[101,15] = 24.15
p[101,16] = 24.15
p[101,17] = 24.15
p[101,18] = 24.15
p[101,19] = 24.15
p[101,20] = 24.15
p[101,21] = 24.15
p[101,22] = 23.3
p[101,23] = 22.84
p[101,24] = 22.8
p[102,1] = 22.81
p[102,2] = 22.78
p[102,3] = 22.6
p[102,4] = 22.6
p[102,5] = 22.6
p[102,6] = 22.6
p[102,7] = 22.94
p[102,8] = 23.33
p[102,9] = 24.15
p[102,10] = 24.15
p[102,11] = 24.15
p[102,12] = 24.15
p[102,13] = 24.15
p[102,14] = 24.15
p[102,15] = 24.15
p[102,16] = 24.15
p[102,17] = 24.15
p[102,18] = 24.15
p[102,19] = 24.15
p[102,20] = 24.15
p[102,21] = 24.15
p[102,22] = 23.3
p[102,23] = 22.84
p[102,24] = 22.78
p[103,1] = 23.03
p[103,2] = 22.98
p[103,3] = 22.81
p[103,4] = 22.81
p[103,5] = 22.81
p[103,6] = 22.81
p[103,7] = 22.94
p[103,8] = 23.33
p[103,9] = 24.15
p[103,10] = 24.15
p[103,11] = 24.15
p[103,12] = 24.15
p[103,13] = 24.15
p[103,14] = 24.15
p[103,15] = 24.15
p[103,16] = 24.15
p[103,17] = 24.15
p[103,18] = 24.15
p[103,19] = 24.15
p[103,20] = 24.15
p[103,21] = 24.15
p[103,22] = 23.3
p[103,23] = 22.84
p[103,24] = 22.98
p[105,1] = 22.75
p[105,2] = 22.72
p[105,3] = 22.53
p[105,4] = 22.53
p[105,5] = 22.53
p[105,6] = 22.53
p[105,7] = 22.94
p[105,8] = 23.33
p[105,9] = 24.15
p[105,10] = 24.15
p[105,11] = 24.15
p[105,12] = 24.15
p[105,13] = 24.15
p[105,14] = 24.15
p[105,15] = 24.15
p[105,16] = 24.15
p[105,17] = 24.15
p[105,18] = 24.15
p[105,19] = 24.15
p[105,20] = 24.15
p[105,21] = 24.15
p[105,22] = 23.3
p[105,23] = 22.84
p[105,24] = 22.72
p[104,1] = 22.75
p[104,2] = 22.73
p[104,3] = 22.54
p[104,4] = 22.54
p[104,5] = 22.54
p[104,6] = 22.54
p[104,7] = 22.94
p[104,8] = 23.33
p[104,9] = 24.15
p[104,10] = 24.15
p[104,11] = 24.15
p[104,12] = 24.15
p[104,13] = 24.15
p[104,14] = 24.15
p[104,15] = 24.15
p[104,16] = 24.15
p[104,17] = 24.15
p[104,18] = 24.15
p[104,19] = 24.15
p[104,20] = 24.15
p[104,21] = 24.15
p[104,22] = 23.3
p[104,23] = 22.84
p[104,24] = 22.73
p[106,1] = 22.67
p[106,2] = 22.65
p[106,3] = 22.46
p[106,4] = 22.46
p[106,5] = 22.46
p[106,6] = 22.46
p[106,7] = 22.94
p[106,8] = 23.33
p[106,9] = 24.15
p[106,10] = 24.15
p[106,11] = 24.15
p[106,12] = 24.15
p[106,13] = 24.15
p[106,14] = 24.15
p[106,15] = 24.15
p[106,16] = 24.15
p[106,17] = 24.15
p[106,18] = 24.15
p[106,19] = 24.15
p[106,20] = 24.15
p[106,21] = 24.15
p[106,22] = 23.3
p[106,23] = 22.84
p[106,24] = 22.65
p[109,1] = 22.68
p[109,2] = 22.66
p[109,3] = 22.46
p[109,4] = 22.46
p[109,5] = 22.46
p[109,6] = 22.46
p[109,7] = 22.94
p[109,8] = 23.33
p[109,9] = 24.15
p[109,10] = 24.15
p[109,11] = 24.15
p[109,12] = 24.15
p[109,13] = 24.15
p[109,14] = 24.15
p[109,15] = 24.15
p[109,16] = 24.15
p[109,17] = 24.15
p[109,18] = 24.15
p[109,19] = 24.15
p[109,20] = 24.15
p[109,21] = 24.15
p[109,22] = 23.3
p[109,23] = 22.84
p[109,24] = 22.66
p[124,1] = 21.69
p[124,2] = 21.75
p[124,3] = 21.48
p[124,4] = 21.48
p[124,5] = 21.48
p[124,6] = 21.48
