Label;ELMP;IP;Join;Min_MWP
GLOCs buyers;0,0;0,0;0,0;0,0
GLOCs sellers;1980,25;33032,43;31231,57;106669335,21
GLOCs network;1428,32;-0,0;28,09;169457419,24
Total GLOCs;3408,57;33032,43;31259,66;276126754,45
LLOCs buyers;0,0;-0,0;0,0;0,0
LLOCs sellers;1979,7;0,0;487,88;66749065,14
LLOCs network;1428,32;0,0;28,09;169457419,24
Total LLOCs;3408,03;0,0;515,97;236206484,38
MWPs buyers;0,0;0,0;0,0;0,0
MWPs sellers;839,66;2797,1;457,18;0,0
MWPs network;0,0;0,0;0,0;0,0
Total MWPs;839,66;2797,1;457,18;0,0
Runtime in seconds;102,95167708396912;70,89166593551636;110,87442469596863;32,24975943565369
Number of Variables;362794,0;233434,0;233434,0;50602,0
Number of Constraints;159036,0;108370,0;109700,0;29890,0
Average price;51,42423647127455;51,49782995619685;51,55942408094527;23,35337730965285
Average price in period 1;26,96239584510846;27,088713030406602;26,962395845107732;173,81808217366967
Average price in period 2;26,009001558958555;26,009001558958538;26,00900155895829;-278,3434073234713
Average price in period 3;26,993724778108138;26,895059847528177;26,89505984752823;-53,881936208290945
Average price in period 4;27,63489923633151;27,586495777795445;27,561069971966905;48,448950170602096
Average price in period 5;31,026030041607108;30,345296837949085;30,345296837949054;-134,18243816147177
Average price in period 6;35,416731859333424;36,37877502448265;36,37877502448249;223,25709593678468
Average price in period 7;76,07576267848424;76,07576267848339;76,07576267848509;131,3569676776476
Average price in period 8;75,43925620759083;74,97997154373736;74,97997154374042;81,7095997020598
Average price in period 9;74,5323515763324;74,28739781567926;74,2873978156801;126,74249058516814
Average price in period 10;75,67689983945814;75,73536711996205;75,735367119963;51,31269254956251
Average price in period 11;76,44377769577113;76,00773714545952;77,2544259961635;-26,52510458520945
Average price in period 12;71,82789765463619;70,47245884437767;70,81446329009636;5,76330944197134
Average price in period 13;72,12490905089668;71,95257499389922;71,95257499389893;20,77139525023104
Average price in period 14;43,818295106802886;42,72128639601805;42,721286396017874;-68,69232339725622
Average price in period 15;42,88183572799402;46,639666269352716;46,639666269352006;-23,036644590158996
Average price in period 16;40,28725112429313;40,28725112232077;40,2872511223205;-58,31502719105892
Average price in period 17;52,4157933728941;51,23255046939508;51,23255046939571;153,33364966022114
Average price in period 18;90,10569675354992;89,74516756015441;89,74516756015575;152,80416350188443
Average price in period 19;81,10934829150492;83,29266789986748;83,31681970342014;-42,039904084752465
Average price in period 20;40,75598299708382;40,80928457117552;40,826441456282836;10,799891493991426
Average price in period 21;37,58591429306538;38,352989950890844;38,352989950890525;-4,466325778188925
Average price in period 22;37,397034823288706;37,39155769333522;37,391557693334384;-97,51327171861686
Average price in period 23;36,86737034296446;36,86737034296434;36,86737034296454;58,28812197330857
Average price in period 24;34,793514454530886;34,79351445453115;34,793514454532094;109,07102835304178
Average price at node 3371;84,88706339736927;84,89021769352368;84,87222507294692;72,0892271715727
Average price at node 3372;86,75067445193417;86,7248956189053;86,70776057752033;26,900009467724292
Average price at node 3373;86,64680662336582;86,42614944760639;86,43204765599098;14,90406190804174
