DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
01/02/2025,1,MI,,C,382.1,1500.0,O
01/02/2025,1,MI,,C,7.1,1500.0,O
01/02/2025,1,MI,,C,260.5,1500.0,O
01/02/2025,1,MI,,C,0.2,800.0,O
01/02/2025,1,MI,,C,0.9,701.0,O
01/02/2025,1,MI,,C,0.1,700.05,O
01/02/2025,1,MI,,C,2354.3,501.0,O
01/02/2025,1,MI,,C,281.2,501.0,O
01/02/2025,1,MI,,C,39.1,501.0,O
01/02/2025,1,MI,,C,79.4,500.0,O
01/02/2025,1,MI,,C,912.0,500.0,O
01/02/2025,1,MI,,C,0.1,500.0,O
01/02/2025,1,MI,,C,939.3,500.0,O
01/02/2025,1,MI,,C,446.6,500.0,O
01/02/2025,1,MI,,C,32.2,500.0,O
01/02/2025,1,MI,,C,0.1,500.0,O
01/02/2025,1,MI,,C,184.2,500.0,O
01/02/2025,1,MI,,C,246.3,500.0,O
01/02/2025,1,MI,,C,13.1,500.0,O
01/02/2025,1,MI,,C,0.3,466.3,O
01/02/2025,1,MI,,C,0.1,466.3,O
01/02/2025,1,MI,,C,40.3,466.3,O
01/02/2025,1,MI,,C,38.6,451.0,O
01/02/2025,1,MI,,C,134.7,451.0,O
01/02/2025,1,MI,,C,18.8,450.0,O
01/02/2025,1,MI,,C,5.3,450.0,O
01/02/2025,1,MI,,C,176.0,450.0,O
01/02/2025,1,MI,,C,821.1,450.0,O
01/02/2025,1,MI,,C,3.0,431.51,O
01/02/2025,1,MI,,C,38.2,402.0,O
01/02/2025,1,MI,,C,41.0,402.0,O
01/02/2025,1,MI,,C,43.5,402.0,O
01/02/2025,1,MI,,C,7.3,402.0,O
01/02/2025,1,MI,,C,1.8,400.0,O
01/02/2025,1,MI,,C,27.5,400.0,O
01/02/2025,1,MI,,C,75.2,400.0,O
01/02/2025,1,MI,,C,426.0,400.0,O
01/02/2025,1,MI,,C,1147.8,400.0,O
01/02/2025,1,MI,,C,21.2,400.0,O
01/02/2025,1,MI,,C,77.8,400.0,O
01/02/2025,1,MI,,C,64.6,400.0,O
01/02/2025,1,MI,,C,8.6,400.0,O
01/02/2025,1,MI,,C,0.8,400.0,O
01/02/2025,1,MI,,C,76.3,400.0,O
01/02/2025,1,MI,,C,6.3,400.0,O
01/02/2025,1,MI,,C,0.6,400.0,O
01/02/2025,1,MI,,C,6.3,400.0,O
01/02/2025,1,MI,,C,64.2,400.0,O
01/02/2025,1,MI,,C,37.9,400.0,O
01/02/2025,1,MI,,C,2.9,400.0,O
01/02/2025,1,MI,,C,6.7,400.0,O
01/02/2025,1,MI,,C,2.5,400.0,O
01/02/2025,1,MI,,C,11.1,400.0,O
01/02/2025,1,MI,,C,19.2,400.0,O
01/02/2025,1,MI,,C,5.1,400.0,O
01/02/2025,1,MI,,C,15.0,400.0,O
01/02/2025,1,MI,,C,45.7,400.0,O
01/02/2025,1,MI,,C,0.9,350.0,O
01/02/2025,1,MI,,C,490.5,350.0,O
01/02/2025,1,MI,,C,12.6,350.0,O
01/02/2025,1,MI,,C,463.5,350.0,O
01/02/2025,1,MI,,C,1.7,350.0,O
01/02/2025,1,MI,,C,0.7,350.0,O
01/02/2025,1,MI,,C,12.6,320.0,O
01/02/2025,1,MI,,C,0.1,300.3,O
01/02/2025,1,MI,,C,0.1,300.3,O
01/02/2025,1,MI,,C,7.7,300.03,O
01/02/2025,1,MI,,C,3.8,300.03,O
01/02/2025,1,MI,,C,1.1,300.03,O
01/02/2025,1,MI,,C,5.2,300.03,O
01/02/2025,1,MI,,C,5.6,300.03,O
01/02/2025,1,MI,,C,2.5,300.03,O
01/02/2025,1,MI,,C,0.2,300.03,O
01/02/2025,1,MI,,C,21.4,300.03,O
01/02/2025,1,MI,,C,0.9,300.03,O
01/02/2025,1,MI,,C,8.0,300.03,O
01/02/2025,1,MI,,C,2.9,300.03,O
01/02/2025,1,MI,,C,5.0,300.03,O
01/02/2025,1,MI,,C,39.4,300.03,O
01/02/2025,1,MI,,C,1.0,300.03,O
01/02/2025,1,MI,,C,62.5,300.0,O
01/02/2025,1,MI,,C,30.4,300.0,O
01/02/2025,1,MI,,C,2.7,300.0,O
01/02/2025,1,MI,,C,164.1,300.0,O
01/02/2025,1,MI,,C,96.3,300.0,O
01/02/2025,1,MI,,C,100.7,300.0,O
01/02/2025,1,MI,,C,59.2,300.0,O
01/02/2025,1,MI,,C,37.3,300.0,O
01/02/2025,1,MI,,C,137.6,300.0,O
01/02/2025,1,MI,,C,5.9,300.0,O
01/02/2025,1,MI,,C,64.1,300.0,O
01/02/2025,1,MI,,C,205.9,300.0,O
01/02/2025,1,MI,,C,144.3,300.0,O
01/02/2025,1,MI,,C,3.9,300.0,O
01/02/2025,1,MI,,C,2.9,300.0,O
01/02/2025,1,MI,,C,58.7,300.0,O
01/02/2025,1,MI,,C,1.1,300.0,O
01/02/2025,1,MI,,C,385.5,300.0,O
01/02/2025,1,MI,,C,1.7,300.0,O
01/02/2025,1,MI,,C,14.9,300.0,O
01/02/2025,1,MI,,C,5.8,300.0,O
01/02/2025,1,MI,,C,431.1,300.0,O
01/02/2025,1,MI,,C,2.2,300.0,O
01/02/2025,1,MI,,C,50.5,300.0,O
01/02/2025,1,MI,,C,2.9,300.0,O
01/02/2025,1,MI,,C,7.8,300.0,O
01/02/2025,1,MI,,C,1.5,300.0,O
01/02/2025,1,MI,,C,2.3,300.0,O
01/02/2025,1,MI,,C,22.2,300.0,O
01/02/2025,1,MI,,C,3.2,300.0,O
01/02/2025,1,MI,,C,0.9,300.0,O
01/02/2025,1,MI,,C,0.3,300.0,O
01/02/2025,1,MI,,C,1.2,300.0,O
01/02/2025,1,MI,,C,1.2,300.0,O
01/02/2025,1,MI,,C,64.8,300.0,O
01/02/2025,1,MI,,C,0.8,300.0,O
01/02/2025,1,MI,,C,0.2,300.0,O
01/02/2025,1,MI,,C,0.2,300.0,O
01/02/2025,1,MI,,C,0.3,300.0,O
01/02/2025,1,MI,,C,5.6,300.0,O
01/02/2025,1,MI,,C,10.5,300.0,O
01/02/2025,1,MI,,C,3.8,300.0,O
01/02/2025,1,MI,,C,13.9,300.0,O
